,Country,Region,Happiness Score,Economy (GDP per Capita),Family (Social Support),Health (Life Expectancy),Year
120,Nepal,Southern Asia,37.43184809174658,19.241853893680762,52.5845498783455,49.84574934268186,2015
121,Ethiopia,Sub-Saharan Africa,37.39424703891709,10.195290699618667,36.743309002433094,38.61086765994741,2015
122,Sierra Leone,Sub-Saharan Africa,37.30024440684339,17.652665027222085,58.13321167883212,0.0,2015
123,Mauritania,Sub-Saharan Africa,35.965407031396886,24.27187987194383,52.86374695863747,31.440841367221733,2015
124,Kenya,Sub-Saharan Africa,35.6457980823463,19.49522608429677,60.751824817518255,36.31463628396144,2015
125,Djibouti,Sub-Saharan Africa,34.70577176160932,23.533144919557056,36.013990267639905,31.806310254163016,2015
126,Armenia,Central and Eastern Europe,34.348561759729265,41.06393471584992,47.26946472019465,63.970201577563536,2015
127,Botswana,Sub-Saharan Africa,34.01015228426396,53.10927003935472,67.19221411192214,4.185801928133216,2015
128,Myanmar,Southeastern Asia,33.54013912389548,14.490323508900685,43.12956204379562,42.28396143733567,2015
129,Georgia,Central and Eastern Europe,33.35213385974807,39.65755869578508,23.456204379562045,63.91411042944786,2015
130,Malawi,Sub-Saharan Africa,33.258131227674376,0.857402940396809,25.02068126520681,19.773882559158633,2015
131,Sri Lanka,Southern Asia,32.86332017296484,44.64695959707174,61.9860097323601,62.05609114811569,2015
132,Cameroon,Sub-Saharan Africa,32.50611017108479,22.58433555596333,53.994525547445264,20.510078878177037,2015
133,Bulgaria,Central and Eastern Europe,31.866892272983645,54.104049884790165,67.28345498783455,67.17703768624014,2015
134,Egypt,Middle East and Northern Africa,31.415679639029896,47.135780102363235,45.43795620437957,54.08588957055215,2015
135,Yemen,Middle East and Northern Africa,29.21601804850536,29.21210304846959,41.419099756691004,35.11305872042068,2015
136,Angola,Sub-Saharan Africa,28.388794886256825,40.50640898839738,52.33576642335767,14.621384750219107,2015
137,Mali,Sub-Saharan Africa,27.674374882496718,13.937608645826934,62.9720194647202,18.039439088518844,2015
138,Congo (Brazzaville),Sub-Saharan Africa,27.56157172400827,36.27712465895876,40.32238442822385,27.21384750219106,2015
139,Comoros,Sub-Saharan Africa,26.941154352321867,12.77872487102626,48.21958637469587,31.827344434706394,2015
140,Uganda,Sub-Saharan Africa,26.47114119195338,11.279873346791438,68.91666666666667,29.676599474145487,2015
141,Senegal,Sub-Saharan Africa,25.963526978755407,19.50965867743313,59.378953771289545,38.15950920245399,2015
142,Gabon,Sub-Saharan Africa,25.81312276743749,56.674120544034466,55.065693430656935,38.012269938650306,2015
143,Niger,Sub-Saharan Africa,24.854295920285775,3.709710976529835,46.99817518248175,26.035933391761613,2015
144,Cambodia,Southeastern Asia,24.36548223350254,24.609174918945325,38.16058394160584,53.56178790534619,2015
145,Tanzania,Sub-Saharan Africa,23.651062229742436,15.245094675883413,60.99026763990268,33.49255039439088,2015
146,Madagascar,Sub-Saharan Africa,21.771009588268477,11.13127109153563,40.63321167883212,40.94741454864154,2015
147,Central African Republic,Sub-Saharan Africa,21.714608009024253,4.1961428192736605,0.0,5.8711656441717786,2015
148,Chad,Sub-Saharan Africa,21.507802218462118,18.277542855977615,46.26642335766423,13.15512708150745,2015
149,Guinea,Sub-Saharan Africa,21.300996427899985,9.310091653922209,28.269464720194648,21.042068361086766,2015
150,Ivory Coast,Sub-Saharan Africa,21.28219590148524,24.874307000265034,46.90693430656935,13.308501314636285,2015
151,Burkina Faso,Sub-Saharan Africa,20.003760105282954,13.797559038355633,51.81751824817519,23.773006134969325,2015
152,Afghanistan,Southern Asia,19.778153788306078,17.09567384025608,18.42153284671533,26.5863277826468,2015
153,Rwanda,Sub-Saharan Africa,17.710095882684712,11.871075124895473,47.06204379562045,37.56704645048203,2015
154,Benin,Sub-Saharan Africa,15.360030080842261,15.322603046430508,21.52433090024331,27.96669588080631,2015
155,Syria,Middle East and Northern Africa,9.080654258319228,35.450725066780784,28.88625304136253,63.27169149868536,2015
156,Burundi,Sub-Saharan Africa,7.181801090430527,0.8178469443934651,25.296228710462287,19.628396143733568,2015
157,Togo,Sub-Saharan Africa,5.940966347057715,11.154790872943025,8.512773722627736,24.928133216476773,2015
158,Denmark,Western Europe,94.0590336529423,77.06897826716406,70.78710462287106,69.6792287467134,2016
159,Switzerland,Western Europe,93.73942470389174,81.64197212944255,69.661800486618,75.63803680981594,2016
160,Iceland,Western Europe,93.58902049257381,76.26075305152817,71.97445255474453,76.01489921121824,2016
161,Norway,Western Europe,93.53261891332959,84.32055450745277,68.54622871046229,69.74496056091148,2016
